subID,ageGroup,date,day,timeDay,mean.demand,dayCode,timeCode,ageCode,neg.affect,pos.affect
21cb9,Young,11/12/21,Friday,afternoon,2.333333333,4,0,0,1.083333333,2.833333333
21cb9,Young,11/12/21,Friday,evening,1,4,1,0,1,4.25
21cb9,Young,11/12/21,Friday,morning,2.6,4,-1,0,1.375,1.125
21cb9,Young,11/13/21,Saturday,afternoon,2.4,5,0,0,1.166666667,3.416666667
21cb9,Young,11/13/21,Saturday,evening,2,5,1,0,2,1.75
21cb9,Young,11/13/21,Saturday,morning,1,5,-1,0,1.75,3
21cb9,Young,11/14/21,Sunday,afternoon,1.5,6,0,0,1,2.25
21cb9,Young,11/14/21,Sunday,morning,1.25,6,-1,0,2.083333333,2.416666667
21cb9,Young,11/15/21,Monday,afternoon,2.2,0,0,0,1.583333333,2.333333333
21cb9,Young,11/15/21,Monday,evening,5,0,1,0,1.25,4
21cb9,Young,11/15/21,Monday,morning,2,0,-1,0,1.625,1.625
21cb9,Young,11/16/21,Tuesday,afternoon,1,1,0,0,2,1.5
21cb9,Young,11/16/21,Tuesday,morning,1.2,1,-1,0,1.333333333,1.833333333
21cb9,Young,11/17/21,Wednesday,afternoon,2,2,0,0,1.625,2.125
21cb9,Young,11/17/21,Wednesday,evening,2.5,2,1,0,1.25,3.25
21cb9,Young,11/17/21,Wednesday,morning,1,2,-1,0,1.916666667,3
21cb9,Young,11/18/21,Thursday,afternoon,1,3,0,0,1.25,4.375
21cb9,Young,11/18/21,Thursday,evening,2,3,1,0,1.25,3.75
21cb9,Young,11/18/21,Thursday,morning,1.428571429,3,-1,0,2.166666667,1.75
b62e3,Old,10/10/21,Sunday,afternoon,2.285714286,6,0,1,1.25,3.5
b62e3,Old,10/10/21,Sunday,evening,2,6,1,1,1.25,3.5
b62e3,Old,10/10/21,Sunday,morning,1.75,6,-1,1,1.125,3.5
b62e3,Old,10/11/21,Monday,afternoon,4,0,0,1,1.125,3.375
b62e3,Old,10/11/21,Monday,evening,2,0,1,1,1.25,3.5
b62e3,Old,10/11/21,Monday,morning,2.666666667,0,-1,1,1,3.25
b62e3,Old,10/12/21,Tuesday,afternoon,2.428571429,1,0,1,1.083333333,3.5
b62e3,Old,10/12/21,Tuesday,evening,2,1,1,1,1,3.5
b62e3,Old,10/12/21,Tuesday,morning,2.5,1,-1,1,1,3.5
